Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNTT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,Sili
,,,sample,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005601,11-6-2018 18:48,WALCRN70,Authorised,#N/B,13.25,-999,-999,-999,8.11,-350,-999,-999,-999,#N/B,34.24,8.05,95.25,7.6,60,1011,#N/B,#N/B,0.0007,0.0006,0.0042,5.9,1.0113,0.0154
2018005602,18-7-2018 13:23,WALCRN70,Authorised,#N/B,17.17,0,0,0,8.12,-350,0,0,0.149021,#N/B,34.67,6.39,81.84,4,270,1018.1,#N/B,#N/B,0.002,0.0067,0.0067,7,1.2447,0.0084
2018005603,17-8-2018 2:31,WALCRN70,Authorised,#N/B,19.27,0,0,0,8.12,-350,0,0,-999,#N/B,34.64,6.81,90,4,225,1014.6,#N/B,#N/B,0.0018,0.0042,0.0042,6,1.0532,0.0471
2018005604,12-9-2018 6:37,WALCRN70,Authorised,#N/B,18.4,0,0,0,8.74,-350,0,0,-999,#N/B,34.89,6.01,78.84,12,352,1018,#N/B,#N/B,0.0002,0.0014,0.0012,7.7,0.8702,0.0259
2018005605,17-10-2018 6:45,WALCRN70,Authorised,#N/B,16.79,0,0,0,9.1,-350,0,0,-999,#N/B,35.01,5.64,71.8,6.9,260,1016,#N/B,#N/B,0.0018,0.0187,0.0042,5.7,0.437,0.0187
2018005606,13-11-2018 0:18,WALCRN70,Authorised,#N/B,13.9,0,0,0,8.08,-350,0,0,-999,#N/B,35.02,7.8,95.7,13.6,214,1013.1,#N/B,#N/B,0.0141,0.0177,-0.0029,9.9,0.8279,0.0617
2018005607,11-12-2018 3:51,WALCRN70,Authorised,#N/B,11.55,0,0,0,7.84,-350,0,0,-999,#N/B,34.95,7.84,88.49,10.9,289,1024.5,#N/B,#N/B,0.003,0.0397,0.0283,11.7,0.6094,0.1011
2018005608,23-1-2018 13:16,SCHOUWN10,Authorised,#N/B,5.87,0,0,0,8.33,-350,0,0,-999,#N/B,32.54,7.62,75.74,9.8,208,1016.7,19496.3594,2653.396,0.0045,0.45,0.1034,20.1,1.1222,0.4865
2018005609,13-2-2018 14:14,SCHOUWN10,Authorised,#N/B,5.6,0,0,0,8.03,-350,0,0,0.713,#N/B,32.9,9.15,90.5,16.6,180,1004.9,19200.0664,2686.1318,0.0074,0.4206,0.0309,26.8,1.2472,0.3893
2018005610,15-3-2018 9:05,SCHOUWN10,Authorised,#N/B,3.89,0,0,0,6.98,-350,0,0,0.7579,#N/B,32.17,10.59,100.09,13.2,164,992.4,18320.9766,2550.0808,0.0047,0.3382,0.041,3.9,1.1135,0.0964
2018005611,18-4-2018 20:18,SCHOUWN10,Authorised,#N/B,7.92,0,0,0,8.36,-350,0,0,-999,#N/B,32.62,10.76,120.3,7.5,107,1026.5,13091.791,2626.1721,0.0039,0.1545,0.0078,5.7,1.3693,0.015
2018005612,16-5-2018 12:08,SCHOUWN10,Authorised,#N/B,12.09,-999,-999,-999,8.47,-350,-999,-999,-999,#N/B,32.24,10.06,111.4,4,360,1029,18489.2168,2659.3069,0.0024,0.0042,0.0093,6.1,1.6276,0.0531
2018005613,11-6-2018 15:05,SCHOUWN10,Authorised,#N/B,15.23,-999,-999,-999,8.13,-350,-999,-999,-999,#N/B,32,7.66,93.19,7.1,60,1011.2,18937.3242,2630.6265,0.0014,0.0006,0.0083,3.4,1.6656,0.0155
2018005614,19-7-2018 7:17,SCHOUWN10,Authorised,#N/B,19.17,0,0,0,8.19,-350,0,0,0.4218625,#N/B,32.15,5.24,68.71,4.5,135,1017.9,17837.6035,2511.2817,0.0019,0.017,0.0153,5.1,1.5843,0.0119
2018005615,16-8-2018 19:50,SCHOUWN10,Authorised,#N/B,21.01,0,0,0,8.16,-350,0,0,-999,#N/B,32.2,6.33,85,5,190,1013.1,16778.2266,2722.9443,0.0029,0.0128,0.0293,12.4,1.5335,0.1585
2018005616,12-9-2018 13:14,SCHOUWN10,Authorised,#N/B,18.97,0,0,0,8.94,-350,0,0,-999,#N/B,32.75,6.12,76.59,6.6,18,1022,17241.4375,2320.8423,-0.0004,0.0021,0.0012,7,0.8864,0.0388
2018005617,17-10-2018 12:42,SCHOUWN10,Authorised,#N/B,16.44,0,0,0,9.26,-350,0,0,0.34226,#N/B,33.25,6.1,76.4,6.3,262,1018.5,20298.3105,2789.5935,0.0013,0.0048,0.0026,7.5,1.3339,0.0442
2018005618,12-11-2018 18:24,SCHOUWN10,Authorised,#N/B,11.6,0,0,0,8.04,-350,0,0,-999,#N/B,32.59,8.21,95.7,8.7,197,1013.4,13250.1035,2668.552,0.0068,0.0738,0.0607,19.9,1.1548,0.2048
2018005619,10-12-2018 21:35,SCHOUWN10,Authorised,#N/B,8.52,0,0,0,7.82,-350,0,0,-999,#N/B,32.83,8.51,90.04,17.6,229,1024.5,18532.3867,2633.1931,0.0057,0.1282,0.0794,19.6,1.0739,0.2017
2018005620,23-1-2018 15:17,GOERE2,Authorised,-999,5.84,0,0,0,8.33,-350,0,0,-999,#N/B,30.02,9.02,88.16,15.4,202,1015.2,16706.2109,2401.2803,0.0042,0.6428,0.0546,26.3,1.2855,0.7249
2018005621,13-2-2018 11:59,GOERE2,Authorised,-999,5.4,0,0,0,8.05,-350,0,0,-999,#N/B,30.98,9.27,90.22,14,180,1007,17678.4746,2450.0894,0.0069,0.5739,0.0524,27.6,1.3737,0.5559
2018005622,15-3-2018 11:06,GOERE2,Authorised,-999,4.33,0,0,0,6.97,-350,0,0,-999,#N/B,31.53,10.52,100.13,11.5,275,992.6,17849.8027,2383.7292,0.0054,0.3282,0.0193,2.3,1.1726,0.1048
2018005623,18-4-2018 18:28,GOERE2,Authorised,-999,8.51,0,0,0,8.59,-350,0,0,-999,#N/B,31.12,11.48,125.9,8.8,52,1026.9,18602.2031,2501.2551,0.0038,0.2421,0.0119,4.6,2.0252,0.0164
2018005624,16-5-2018 13:27,GOERE2,Authorised,-999,12.48,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,30.2,8.02,90.74,5,10,1032,17425.4023,2487.876,0.0036,0.1207,0.0222,7.8,1.8435,0.0995
