Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,SiO2 Si
,,,,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,114MB405,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005613,11-6-2018 15:05,SCHOUWN10,Authorised,#N/B,15.23,-999,-999,-999,8.13,-350,-999,-999,-999,#N/B,32,7.66,93.19,7.1,60,1011.2,18937,2631,0.0014,0.00,0.0083,3.4,1.67,0.016
2018005614,19-7-2018 7:17,SCHOUWN10,Authorised,#N/B,19.17,0,0,0,8.19,-350,0,0,0.4218625,#N/B,32.15,5.24,68.71,4.5,135,1017.9,17838,2511,0.0019,0.02,0.0153,5.1,1.58,0.012
2018005615,16-8-2018 19:50,SCHOUWN10,Authorised,#N/B,21.01,0,0,0,8.16,-350,0,0,-999,#N/B,32.2,6.33,85,5,190,1013.1,16778,2723,0.0029,0.01,0.0293,12.4,1.53,0.159
2018005616,12-9-2018 13:14,SCHOUWN10,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,17241,2321,-0.0004,0.00,0.0012,7.0,0.89,0.039
2018005617,17-10-2018 12:42,SCHOUWN10,Available,#N/B,16.44,0,0,0,9.26,-350,0,0,0.34226,#N/B,33.25,6.1,76.4,6.3,262,1018.5,20298,2790,0.0013,0.00,0.0026,7.5,1.33,0.044
2018005618,12-11-2018 18:24,SCHOUWN10,Available,#N/B,11.6,0,0,0,8.04,-350,0,0,-999,#N/B,32.59,8.21,95.7,8.7,197,1013.4,13250,2669,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005619,10-12-2018 21:35,SCHOUWN10,Available,#N/B,8.52,0,0,0,7.82,-350,0,0,-999,#N/B,32.83,8.51,90.04,17.6,229,1024.5,18532,2633,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005620,23-1-2018 15:17,GOERE2,Authorised,-999,5.84,0,0,0,8.33,-350,0,0,-999,#N/B,30.02,9.02,88.16,15.4,202,1015.2,16706,2401,0.0042,0.64,0.0546,26.3,1.29,0.725
2018005621,13-2-2018 11:59,GOERE2,Authorised,-999,5.4,0,0,0,8.05,-350,0,0,-999,#N/B,30.98,9.27,90.22,14,180,1007,17678,2450,0.0069,0.57,0.0524,27.6,1.37,0.556
2018005622,15-3-2018 11:06,GOERE2,Authorised,-999,4.33,0,0,0,6.97,-350,0,0,-999,#N/B,31.53,10.52,100.13,11.5,275,992.6,17850,2384,0.0054,0.33,0.0193,2.3,1.17,0.105
2018005623,18-4-2018 18:28,GOERE2,Authorised,-999,8.51,0,0,0,8.59,-350,0,0,-999,#N/B,31.12,11.48,125.9,8.8,52,1026.9,18602,2501,0.0038,0.24,0.0119,4.6,2.03,0.016
2018005624,16-5-2018 13:27,GOERE2,Authorised,-999,12.48,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,30.2,8.02,90.74,5,10,1032,17425,2488,0.0036,0.12,0.0222,7.8,1.84,0.100
2018005625,11-6-2018 13:37,GOERE2,Authorised,-999,15.51,0,0,0,8.03,-350,0,0,-999,#N/B,30.02,7.14,85.88,2.1,60,1015,14658,1705,0.0052,0.05,0.0453,7.5,1.98,0.110
2018005626,19-7-2018 8:41,GOERE2,Authorised,-999,20.21,0,0,0,8.16,-350,0,0,-999,#N/B,29.75,4.5,59.15,4.5,135,1018,16937,2338,0.0069,0.01,0.0789,18.4,1.78,0.221
2018005627,16-8-2018 17:29,GOERE2,Authorised,-999,20.11,0,0,0,8.12,-350,0,0,-999,#N/B,30.58,6.45,85,6,187,1013.8,17247,2523,0.0060,0.01,0.0551,22.5,1.66,0.208
2018005628,12-9-2018 15:11,GOERE2,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,14469,1679,0.0089,0.03,0.0855,23.6,0.79,0.278
2018005629,17-10-2018 14:20,GOERE2,Available,-999,16.77,0,0,0,9.27,-350,0,0,-999,#N/B,30.98,5.15,63.92,6,270,1018.3,19640,2645,0.0032,0.02,0.0280,9.3,0.73,0.108
2018005630,12-11-2018 16:16,GOERE2,Available,-999,11.15,0,0,0,8.03,-350,0,0,-999,#N/B,31.52,8.04,91.8,8.4,196,1012.1,12812,2306,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005631,10-12-2018 19:55,GOERE2,Available,-999,8.33,0,0,0,7.83,-350,0,0,-999,#N/B,32.55,8.55,89.98,20.9,252,1023.8,18571,2627,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005632,23-1-2018 15:48,GOERE6,Authorised,-999,6.05,0,0,0,8.33,-350,0,0,-999,#N/B,30.15,7.65,75.14,15.1,195,1015.1,8910,1119,0.0202,1.90,0.1252,32.2,2.11,2.087
2018005633,13-2-2018 11:20,GOERE6,Authorised,-999,5.4,0,0,0,8.05,-350,0,0,-999,#N/B,25.31,9.54,89.27,14,180,1007.1,14460,1964,0.0090,1.00,0.0652,26.1,#N/B,1.055
2018005634,15-3-2018 11:37,GOERE6,Authorised,-999,4.33,0,0,0,6.89,-350,0,0,-999,#N/B,31.4,10.51,99.91,8.4,115,992.8,13012,2234,0.0074,0.60,0.0317,2.5,1.33,0.398
2018005635,18-4-2018 17:48,GOERE6,Authorised,-999,8.26,0,0,0,8.58,-350,0,0,-999,#N/B,30.8,11.45,124.6,7.6,28,1027.3,18410,2429,0.0037,0.31,0.0189,6.7,2.32,0.046
2018005636,16-5-2018 13:59,GOERE6,Authorised,-999,12.16,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,29.79,8.09,91.06,5,10,1031,17101,2438,0.0024,0.18,0.0309,5.5,1.87,0.099
2018005637,11-6-2018 13:10,GOERE6,Authorised,-999,15,0,0,0,8.05,-350,0,0,-999,#N/B,30.18,7.54,90.53,2,60,1015,17441,2366,0.0035,0.07,0.0479,5.2,1.94,0.132
2018005638,19-7-2018 9:11,GOERE6,Authorised,-999,19.97,0,0,0,8.2,-350,0,0,-999,#N/B,29.8,4.48,58.75,4.5,135,1018.4,16192,2334,0.0065,0.01,0.0720,13.9,1.73,0.153
2018005639,16-8-2018 17:07,GOERE6,Authorised,-999,20.33,0,0,0,8.15,-350,0,0,-999,#N/B,30.76,6.86,89,6,187,1013.5,16148,2502,0.0091,0.02,0.1029,25.7,1.74,0.361
