Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK
2018005603,13-8-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005604,10-9-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005605,15-10-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005606,12-11-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005607,10-12-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005608,23-1-2018 13:16,SCHOUWN10,Available,#N/B,5.87,0,0,0,8.33,-350,0,0,-999,#N/B,32.5,7.62,75.7,9.8,208,1020
2018005609,13-2-2018 14:14,SCHOUWN10,Available,#N/B,5.6,0,0,0,8.03,-350,0,0,0.713,#N/B,32.9,9.15,90.5,16.6,180,1000
2018005610,15-3-2018 9:05,SCHOUWN10,Available,#N/B,3.89,0,0,0,6.98,-350,0,0,0.758,#N/B,32.2,10.6,100,13.2,164,992
2018005611,18-4-2018 20:18,SCHOUWN10,Available,#N/B,7.92,0,0,0,8.36,-350,0,0,-999,#N/B,32.6,10.8,120,7.5,107,1030
2018005612,16-5-2018 12:08,SCHOUWN10,Available,#N/B,12.1,-999,-999,-999,8.47,-350,-999,-999,-999,#N/B,32.2,10.1,111,4,360,1030
2018005613,11-6-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
