index,bottleid,datetime,station,salinity_rws,station_bottleid,salinity_nioz,dic,alk,pH_spectro_total_25_original,comments,comments1,Unnamed: 11,Unnamed: 12,lat,lon,depth,temperature,nitrite_gvol,nitrate_gvol,ammonia_gvol,phosphate_gvol,silicate_gvol,doc_gvol,pH_rws_total_insitu,chloride_gvol,sulfate_gvol,salinity,doc_vol,nitrate_vol,nitrite_vol,ammonia_vol,din_vol,silicate_vol,phosphate_vol,sulfate_vol,chloride_vol,density_nutrients,doc,nitrate,nitrite,ammonia,din,silicate,phosphate,sulfate,chloride,silicate_unc,phosphate_unc,nitrate_unc,nitrite_unc,ammonia_unc,doc_unc,gid,rgb,datenum,day_of_year
98,2018005630.0,2018-11-12 16:16:00,GOERE2,31.52,GOERE2_2018005630,31.52,2272.4297384425977,2432.7622992165434,7.7895,,,,,51.846944444444446,3.9166666666666665,3.5,11.15,0.008,0.0713,0.1505,18.0,0.2633,1.4318,8.03,12811.8389,2305.6379,31.52,119.2113632957554,5.090364682150276,0.5711489124432287,10.74473891533824,16.406252509931747,9.375111269360866,0.5811370282099498,24002.060170726632,361390.60124395305,1.021298283670581,116.72531443733135,4.9842095727952564,0.5592381007343907,10.520666770065725,16.064114443595376,9.179601512367567,0.5690179230707443,23501.51817005156,353854.1159053972,1.376940226855135,0.14225448076768607,1.495262871838577,0.1677714302203172,1.5781000155098588,23.34506288746627,2,[[0.999 0.111 0.111]],737010.6777777778,316
99,2018005631.0,2018-12-10 19:55:00,GOERE2,32.55,GOERE2_2018005631,32.55,2280.47371593906,2429.078692181835,7.7511,,,,,51.846944444444446,3.9166666666666665,3.5,8.33,0.0068,0.1389,0.1138,17.4,0.2542,1.1446,7.83,18571.1895,2626.999,32.55,95.29915241536644,9.916572992295558,0.4854765755767444,8.124593279504928,18.526642847377232,9.051094890510948,0.5617657939362849,27347.480741203413,523847.7779501573,1.0220782276194367,93.24056597637492,9.70236203484409,0.4749896460542823,7.949091429555489,18.126443110453863,8.855579392970942,0.5496309174344864,26756.73935927539,512531.9802284333,1.3283369089456412,0.1374077293586216,2.9107086104532267,0.1424968938162847,1.1923637144333232,18.648113195274984,2,[[0.999 0.111 0.111]],737038.8298611111,344
100,2019001607.0,2019-01-29 09:27:00,GOERE2,29.75,GOERE2_2019001607,29.75,2261.3707234119743,2381.9073441860173,7.7190666666666665,,,,,51.846944444444446,3.9166666666666665,3.5,5.58,0.0116,0.5827,0.0849,22.3,0.5776,1.2778,7.96,16000.0,2300.0,29.75,106.38935606880588,41.60105891008367,0.8281659230426816,6.061317833303765,48.49054266643012,20.56613850810041,0.7199642071712157,23943.36872787841,451320.81858313474,1.019958974233552,104.30748565034408,40.786992380105076,0.8119600336523405,5.942707487679631,47.54165990143705,20.163691900995165,0.7058756531969658,23474.835099000575,442489.1882757144,3.0245537851492745,0.17646891329924144,12.236097714031523,0.24358801009570213,0.8914061231519447,20.861497130068816,2,[[0.999 0.111 0.111]],737088.39375,29
101,2019003257.0,2019-02-12 11:22:00,GOERE2,30.92,GOERE2_2019003257,30.92,2262.746772895973,2385.65503058757,7.709766666666667,,,,,51.846944444444446,3.9166666666666665,3.5,5.57,0.0072,0.4364,0.1087,21.5,0.4904,1.1582,7.91,17000.0,2500.0,30.92,96.431485521123,31.15617317377813,0.5140340211989058,7.76048584782237,39.430693042799405,17.46127826241766,0.694135894806329,26025.400791172182,479528.3697445807,1.0208441430360202,94.4624957482079,30.520009725597056,0.5035381989557717,7.602028087012831,38.625576011565656,17.104744521026795,0.6799626559466253,25494.000204352335,469737.1023929758,2.565711678154019,0.16999066398665633,9.156002917679116,0.1510614596867315,1.1403042130519248,18.89249914964158,2,[[0.999 0.111 0.111]],737102.473611111,43
102,2019005563.0,2019-04-18 10:29:00,GOERE2,29.63,GOERE2_2019005563R,29.63,2041.2598502666428,2379.537195797417,8.1603,Particles in sample,,,,51.846944444444446,3.9166666666666665,3.5,9.5,0.004,0.2742,0.0221,8.2,0.3691,1.6147,8.32,17000.0,2400.0,29.63,134.4395783724377,19.57612897399166,0.28557445622161437,1.5777988706244195,21.439502300837695,13.14224675093466,0.2647402017400883,24984.384759525296,479528.3697445807,1.0198682175337468,131.82053922372492,19.194763242383225,0.28001113409749423,1.5470615158886556,21.021835892369374,12.886220518485558,0.25958275509387385,24497.65992310529,470186.6000924903,1.9329330777728337,0.06489568877346846,5.758428972714968,0.08400334022924827,0.23205922738329832,26.364107844744986,2,[[0.999 0.111 0.111]],737167.4368055556,108
103,2019006213.0,2019-05-16 13:48:00,GOERE2,30.06,GOERE2_2019006213,30.06,2159.9368377333235,2416.795563036398,8.020260000000002,Particles in sample,,,,51.846944444444446,3.9166666666666665,3.5,12.25,0.0026,0.1684,0.0201,2.2,0.2254,2.1852,8.21,17000.0,2400.0,30.06,181.9392869631825,12.022684606929964,0.18562339654404933,1.4350116425136121,13.643319645987624,8.025636460744169,0.07102785900343833,24984.384759525296,479528.3697445807,1.0201934545560072,178.3380261367814,11.78471058919143,0.18194921337231423,1.4066073803013524,13.373267182865096,7.8667790161788105,0.06962195129388472,24489.85008475536,470036.7049044376,1.1800168524268215,0.01740548782347118,3.535413176757429,0.05458476401169427,0.21099110704520285,35.66760522735628,2,[[0.999 0.111 0.111]],737195.575,136
104,2019007100.0,2019-06-14 08:07:00,GOERE2,31.4,GOERE2_2019007100,31.4,2245.636145064506,2440.2070907995944,7.86925,Particles in sample,,,,51.846944444444446,3.9166666666666665,3.5,15.87,0.0065,0.0686,0.0579,8.8,0.0399,1.8124,8.03,17000.0,2500.0,31.4,150.9000382995021,4.897601924200686,0.46405849136012334,4.133690253807868,9.495350669368676,1.4206871995727255,0.2841114360137533,26025.400791172182,479528.3697445807,1.0212074441199632,147.76629290001102,4.795893285346395,0.4544213754336964,4.047845790401696,9.298160451181786,1.3911837479769043,0.27821128571833853,25484.930550618792,469569.99041249603,0.20867756219653563,0.06955282142958463,1.4387679856039184,0.13632641263010892,0.6071768685602543,29.553258580002208,2,[[0.999 0.111 0.111]],737224.3381944444,165
105,2019007702.0,2019-07-15 16:01:00,GOERE2,29.56,GOERE2_2019007702,29.8,2181.556369175832,2418.1392665008643,7.9869,Particles in sample,Salinity measured with NIOZ Conductivity Probe,,,51.846944444444446,3.9166666666666665,3.5,18.28,0.0067,0.0166,0.0664,6.3,0.1077,1.5498,8.15,16000.0,2400.0,29.56,129.03601818393753,1.1851339933196996,0.47833721417120406,4.740535973278798,6.404007180769702,3.834787252982019,0.20339795987348244,24984.384759525296,451320.81858313474,1.0198152786603674,126.52881446671367,1.162106528622022,0.46904299649202097,4.648426114488088,6.279575639602132,3.7602763296696318,0.1994458841023314,24498.93160293192,442551.5365645347,0.5640414494504448,0.04986147102558285,0.3486319585866066,0.14071289894760627,0.6972639171732132,25.305762893342735,2,[[0.999 0.111 0.111]],737255.6673611111,196
106,2019008285.0,2019-08-15 19:15:00,GOERE2,32.7,GOERE2_2019008285,32.7,2182.6326030040686,2423.9162691408155,7.9502999999999995,Particles in sample bottle,,,,51.846944444444446,3.9166666666666665,3.5,19.67,0.0028,0.017,0.0134,7.6,0.0491,,8.09,18000.0,2500.0,32.7,,1.213691438941861,0.19990211935513003,0.9566744283424081,2.370267986639399,1.7482641979704465,0.24536896746642328,26025.400791172182,507735.9209060266,1.0221918475618865,,1.1873421235326185,0.19556223211125479,0.9359049679610052,2.3188093236048783,1.7103092752504088,0.24004199216778427,25460.387747415025,496712.94299310754,0.2565463912875613,0.06001049804194607,0.35620263705978555,0.058668669633376434,0.14038574519415079,,2,[[0.999 0.111 0.111]],737286.8020833334,227
107,2019009093.0,2019-09-11 21:29:00,GOERE2,,GOERE2_2019009093,32.33,2180.111022482607,2390.682530179603,7.8992,Particles in sample bottle,Salinity measured with NIOZ Conductivity Probe,,,51.846944444444446,3.9166666666666665,3.5,,,,,,,,,19000.0,2400.0,32.33,,,,,,,,24984.384759525296,535943.4720674725,1.0219116016298215,,,,,,,,24448.675129706247,524451.8911544889,,,,,,,2,[[0.999 0.111 0.111]],737313.8951388889,254
